Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Rizwan Ghzzaal,2 years ago,Ehmad Bhai Allah Apko jaza de really its very important for the fresh grads or those who are in their study to be on the right direction. Your Efforts are Great.,https://yt3.ggpht.com/ytc/AGIKgqMqIMh5DlfT9MZrQFpWrNAAgVCndqe7xSFo-8C4ug=s48-c-k-c0x00ffffff-no-rj,2
Naeem Haider,2 years ago,"Well done Ehmad . Seeing you helping people thats a good job.
One question that was answered but still need precise answers .
What are key skills needed to apply for devops role and what company are looking for a devops guy. Normally they need tons of skills but still curious  to know as i have backend Engineer Experinece for past 3 years want to switch roles to devops side.
Secondly how much time will it take  to prepare to land  first devops  job without impacting current pay scale(know this is open ended question but still some valid clue will help alot) .
Thanks :)",https://yt3.ggpht.com/ytc/AGIKgqOrtwvD1Hs7oeO3UpcUbkfZS6PsI5r9CE05dhORXg=s48-c-k-c0x00ffffff-no-rj,0
Naeem Haider,2 years ago,Do a session with different backend developers espacially working on ruby on rails  and wanted to learn  different languages /frameworks by acquiring right knowledge needed to be capable enough to  start working in production Applications .,https://yt3.ggpht.com/ytc/AGIKgqOrtwvD1Hs7oeO3UpcUbkfZS6PsI5r9CE05dhORXg=s48-c-k-c0x00ffffff-no-rj,1
Hadi Ali,2 years ago,"Really like the whole episode.
I just watched it and I thought that I must give a like to this heavily informative video.
you are doing such a nice job. Keep doing.",https://yt3.ggpht.com/ytc/AGIKgqPEbLIfPngRo75eWhMTfzbfXryLmG76M-xAUihP=s48-c-k-c0x00ffffff-no-rj,0
Mohammad Riyan,1 year ago,I learned a lot of things from you both guys ️,https://yt3.ggpht.com/IbFeTWG_8N6A8qc02EfJfKRpweEGV_a_S1rhv2Ajzx05O7cnaM80BgLtWxyxiXj7hBU8otWACw=s48-c-k-c0x00ffffff-no-rj,0
Ibrahim Malik,2 years ago,Learned so much from this session Ehmad. Keep it up and a very knowledgable guest,https://yt3.ggpht.com/ytc/AGIKgqPY3QgEZRVs7Mz7f-QTKrtzOzDYXc-H2XIVPLe9=s48-c-k-c0x00ffffff-no-rj,0
Khizar Hayat,2 years ago,"Again a very good discussion and informative video for students and beginners.
My Question for Sad Ali

What is the difference between Jenkins and the GitLab CI/CD tool? We can set a pipeline on GitLab as well to automate the stuff like unit testing. Can we say Jenkins is an old technology nowadays or it is similar to GitLab CI/CD tools with some differences?

2nd question is that can we set some triggers on the server as well to pull the code automatically from the GitHub/Gitlab repository when the repository updated with some new code? 
I'm doing this part manually like access to the server and take the latest pull from the repository, that's why I have asked the above question.

I'll go with your suggestion about live Q&A on Instagram.

Thanks again for such amazing content.",https://yt3.ggpht.com/ytc/AGIKgqM3rgoR9isRxgmx9mzPEI_KN_UtobrQEcO6406-zA=s48-c-k-c0x00ffffff-no-rj,0
Travel Diary - WheeLLog,2 years ago,"Masters Degree is only Good if you are looking for Sarkari Nokri, Private Companies preferred Skill full persons.",https://yt3.ggpht.com/TdMdFe8Y2n3RXmNpJsa9fUpK9Q4FwuawxJADAOK79p1Dv80UIMjjTtKbdt5ongIFF9Z8tnHNbWA=s48-c-k-c0x00ffffff-no-rj,1
Mian Khalid,2 years ago,"4 ... 2.94 ... #JamesBondVibes!
p.s. this was a fun episode, especially closeup frames of Saad bhai while he joked about things :thumbsup:",,1
taha ali,2 years ago,"Asalam o alaikum 
Sir tell me  one thing .. Im so confuse to make career in programming  i don't know which  is better to me. Android development or software development. Oracle development... Or web.. Im doing work in web development but i realise  in web development there is no scope any more i think. I can able to learn and understanding programing very well but tell me one programing line. I will focus on it i have done bscs from virtual university .. I live in karachi. ..
Thanks you",,0
